mode,dataset,model,n_train,n_test,train_seconds,rmse,nlpd,cov68,cov95,nu
scaling,hour,svgp,5000,3476,12.473184500006028,0.8309994452848137,1.249999995332731,0.7626582278481012,0.9628883774453395,
scaling,hour,gpz_gaussian,5000,3476,12.236938800022472,0.33680481286040675,0.3216549918260117,0.7715765247410817,0.9300920598388953,
scaling,hour,gpz_student_t,5000,3476,16.850697900052182,0.33705122055729575,0.4031553681985887,0.8633486766398158,0.9703682393555811,4.0
scaling,hour,svgp,10000,3476,9.397677900036797,0.834265003061205,1.2534660530413972,0.760644418872267,0.9643268124280783,
scaling,hour,gpz_gaussian,10000,3476,11.301082200021483,0.32863620420707446,0.3009081348544619,0.7787686996547756,0.9352704257767549,
scaling,hour,gpz_student_t,10000,3476,16.87831759999972,0.33110510808723365,0.3929249861866066,0.8728423475258918,0.9758342922899885,4.0
scaling,hour,svgp,13903,3476,9.378698199987411,0.8365942588752232,1.2559918447741678,0.7632336018411968,0.9585730724971231,
scaling,hour,gpz_gaussian,13903,3476,12.221618200012017,0.32090017715519537,0.2784059514094097,0.7781933256616801,0.9346950517836594,
scaling,hour,gpz_student_t,13903,3476,17.41999180003768,0.3236938556658498,0.3782012594901938,0.8742807825086306,0.974108170310702,4.0
scaling,hour,svgp,13903,3476,9.478924299997743,0.8365942588752232,1.2559918447741678,0.7632336018411968,0.9585730724971231,
scaling,hour,gpz_gaussian,13903,3476,11.109945099975448,0.32090017715519537,0.2784059514094097,0.7781933256616801,0.9346950517836594,
scaling,hour,gpz_student_t,13903,3476,16.415471399959642,0.3236938556658498,0.3782012594901938,0.8742807825086306,0.974108170310702,4.0
scaling,nyc,svgp,20000,100000,9.719064100005198,0.9230777833970588,1.2441774673989419,0.84655,0.98089,
scaling,nyc,gpz_gaussian,20000,100000,10.99536340002669,0.5462607306734317,1.2683090153934524,0.57669,0.84849,
scaling,nyc,gpz_student_t,20000,100000,16.253778200014494,0.5290631119731184,0.7934192846134942,0.74225,0.93606,2.5
scaling,nyc,svgp,50000,100000,9.541475499980152,0.9262947524434747,1.2418750815544868,0.83738,0.98033,
scaling,nyc,gpz_gaussian,50000,100000,10.96830140001839,0.5295062174279502,1.2583410547594478,0.57273,0.84421,
scaling,nyc,gpz_student_t,50000,100000,17.583141100010835,0.523432613959586,0.7790744405997012,0.72676,0.93302,2.5
scaling,nyc,svgp,100000,100000,9.553294499986805,0.7641638027777768,1.1389007074149655,0.76175,0.97279,
scaling,nyc,gpz_gaussian,100000,100000,11.574455299996771,0.5253758157333561,1.2485895794939326,0.58258,0.84812,
scaling,nyc,gpz_student_t,100000,100000,17.457032100006472,0.5114025261622323,0.7581259305452707,0.72858,0.93652,2.5
scaling,nyc,svgp,200000,100000,9.667899599997327,0.9228485342394251,1.235167590985423,0.83836,0.97952,
scaling,nyc,gpz_gaussian,200000,100000,15.863516199984588,0.5115970424140673,1.1450066976803683,0.6116,0.86753,
scaling,nyc,gpz_student_t,200000,100000,17.490017999953125,0.5055890342092186,0.7399961834170665,0.74578,0.94383,2.5
