mode,dataset,model,n_train,n_test,train_seconds,rmse,nlpd,cov68,cov95,nu
metrics,concrete,fullgp,824,206,12.643585099838674,6.9938675869464895,4.12988953321458,0.616504854368932,0.8300970873786407,
metrics,concrete,svgp,824,206,19.395294700050727,7.264719765150974,4.364967483266128,0.38349514563106796,0.6310679611650486,
metrics,concrete,gpz_gaussian,824,206,15.411139799980447,5.853874684327128,3.2709648283128367,0.7038834951456311,0.8786407766990292,
metrics,concrete,gpz_student_t,824,206,19.44756770017557,6.4373652963134536,3.1673013905163754,0.8058252427184466,0.9368932038834952,4.0
metrics,hour,fullgp,3000,3476,73.21649679983966,0.7827932231836993,1.2268950222943948,0.8236478711162255,0.9792865362485615,
metrics,hour,svgp,13903,3476,21.192686300026253,0.8365942588752232,1.2559918447741678,0.7632336018411968,0.9585730724971231,
metrics,hour,gpz_gaussian,13903,3476,16.803502099821344,0.32090017715519537,0.2784059514094097,0.7781933256616801,0.9346950517836594,
metrics,hour,gpz_student_t,13903,3476,23.865973399952054,0.3236938556658498,0.3782012594901938,0.8742807825086306,0.974108170310702,4.0
metrics,nyc,svgp,400000,100000,17.776120100170374,0.7611513244738616,1.137348485894544,0.76806,0.97409,
metrics,nyc,gpz_gaussian,400000,100000,49.63366190018132,0.5186120389390437,1.2008253407175598,0.5976,0.85654,
metrics,nyc,gpz_student_t,400000,100000,47.787257299991325,0.5082584669836789,0.7466921444269939,0.74041,0.9405,2.5
